City Name,Cloud Cover (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
White Oak,1,US,81,39.04,-76.99,44.49,5.41
Ostrovnoy,36,RU,85,68.05,39.51,12.18,13.69
Delaware,1,US,86,40.3,-83.07,39.25,3.36
Bizhbulyak,92,RU,81,53.69,54.27,8.22,11.68
Pandan,68,PH,97,11.72,122.09,81.03,26.11
San Antonio,90,CL,82,-33.58,-71.61,56.37,11.41
Fare,20,PF,99,-16.7,-151.02,83.1,10.67
Adet,0,ET,17,11.26,37.49,57.67,7.99
Sambava,24,MG,100,-14.27,50.17,82.56,5.75
Entre Rios,80,BR,69,-11.94,-38.08,84.27,11.01
Ponta Delgada,40,PT,93,37.73,-25.67,62.6,5.82
Samarai,68,PG,100,-10.62,150.67,80.49,23.76
Cochrane,20,CL,30,-47.25,-72.57,71.6,16.11
Ottappalam,0,IN,61,10.77,76.38,76.08,11.23
Sarahan,80,IN,100,31.51,77.79,6.06,1.16
Palmdale,1,US,49,34.58,-118.12,41.16,4.18
Moscow,90,RU,100,55.75,37.62,23.36,2.24
Trairi,80,BR,100,-3.28,-39.27,80.49,16.49
Madimba,56,CM,83,4.42,9.93,84.2,5.82
Sharjah,0,AE,53,25.36,55.39,71.1,11.41
Jijiga,0,ET,70,9.35,42.8,48.54,2.28
Chifeng,0,CN,43,42.27,118.96,-1.42,5.41
Nelson Bay,0,AU,78,-32.72,152.14,73.4,3.36
Pontian Kecil,75,MY,94,1.48,103.39,80.64,16.82
Windsor,1,US,51,42.3,-83.03,42.44,8.05
Canutama,76,BR,77,-6.53,-64.38,85.71,3.29
Innisfail,90,CA,92,52.02,-113.95,15.8,4.7
Mogadishu,8,SO,99,2.04,45.34,79.95,23.87
Trincomalee,44,LK,88,8.58,81.23,68.02,4.63
La Rioja,32,AR,74,-29.41,-66.86,79.77,3.85
Santa Isabel,40,CO,45,4.71,-75.1,74.66,10.29
Floriano,44,BR,44,-6.77,-43.02,94.3,4.52
Ambilobe,68,MG,94,-13.19,49.05,74.55,4.85
Friedberg,75,AT,68,47.44,16.06,28.4,3.36
Luanda,75,AO,74,-8.83,13.24,82.4,9.17
Tilichiki,76,RU,82,60.47,166.1,-19.42,3.06
Acapulco,20,MX,69,16.86,-99.88,82.4,5.82
San Pedro del Pinatar,0,ES,71,37.84,-0.79,54.79,5.82
Humaita,20,AR,65,-24.93,-65.37,80.6,4.7
Enshi,88,CN,97,30.29,109.48,31.3,2.62
Surat Thani,92,TH,100,9.14,99.33,72.93,8.88
Coquimbo,40,CL,68,-29.95,-71.34,68.0,11.41
Marawi,8,PH,92,8.0,124.29,64.11,3.29
Saint-Paul,0,FR,74,45.22,1.9,32.0,2.24
Vostok,56,RU,79,46.45,135.83,5.34,3.51
Cockburn Town,0,TC,97,21.46,-71.14,79.63,18.5
Kapuskasing,75,CA,82,49.42,-82.43,35.6,9.17
Lagos,8,NG,63,6.46,3.39,91.4,5.82
Ribeira Brava,64,PT,100,32.65,-17.07,63.75,10.45
Huarmey,0,PE,57,-10.07,-78.15,78.82,3.85
Onokhoy,0,RU,74,51.92,108.05,-25.61,2.06
Fagersta,24,SE,93,60.0,15.79,39.2,6.93
Fukue,75,JP,100,35.03,136.69,44.6,3.36
Miyang,0,CN,79,24.4,103.44,42.33,6.2
Keetmanshoop,0,NA,11,-26.57,18.15,98.6,16.11
Laguna,5,MX,29,27.52,-110.01,62.6,3.4
Freeport,75,BS,78,26.54,-78.7,78.8,11.41
Kodinsk,36,RU,26,58.6,99.18,-18.2,2.62
Lubaczow,80,PL,87,50.16,23.12,21.0,10.67
Vengerovo,76,RU,81,55.68,76.74,4.12,9.78
Nueva Loja,40,EC,70,0.08,-76.88,82.15,2.24
Algeciras,20,ES,62,36.13,-5.45,59.0,17.22
Veraval,90,FR,86,49.65,0.71,39.79,3.36
Inhambane,40,MZ,88,-23.87,35.38,78.8,4.7
Palmer,75,AU,55,-34.85,139.16,64.4,9.17
Ayan,0,TR,75,40.67,33.6,12.13,2.06
Iracoubo,92,GF,84,5.48,-53.21,79.59,6.2
Robertsport,0,LR,97,6.75,-11.37,85.08,7.76
Sangar,0,RU,0,63.92,127.47,-35.12,0.72
Hofn,75,IS,93,64.25,-15.21,46.4,8.05
Paulista,44,BR,39,-6.6,-37.62,91.87,6.2
Bodden Town,20,KY,79,19.28,-81.25,84.2,14.99
San Ciro de Acosta,64,MX,77,21.65,-99.82,58.89,2.17
Nandyal,0,IN,81,15.47,78.48,59.47,3.62
Gohpur,0,IN,83,26.89,93.63,42.6,2.84
Leningradskiy,32,RU,100,69.38,178.42,-13.43,11.79
Wilmington,1,US,73,39.75,-75.55,41.59,8.05
Rabo de Peixe,40,PT,93,37.8,-25.58,62.6,5.82
Vigrestad,90,NO,100,58.57,5.7,46.4,20.8
Eregli,36,TR,89,37.51,34.05,31.93,2.06
Faya,0,SA,31,18.39,42.45,65.32,4.7
Mocuba,64,MZ,75,-16.84,36.99,82.42,4.41
